여행ID,숙소명,숙박경비순번,숙소유형코드,예약여부,체크인시간,체크아웃시간,소비인원,사업자등록번호,상호명,도로명주소,지번주소,도로명코드,지번코드,결제일식,결제방식,결제금액,소비내역
b_b000708,캐슬529키즈풀빌라,1,3,Y,2022/08/24 0:00,2022/08/25 0:00,3,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022/08/24 0:00,1,548200,펜션비
c_c007579,노을마루펜션,0,3,Y,2022/10/16 0:00,2022/10/17 0:00,2,,,전남 여수시 돌산읍 평사로 379,전남 여수시 돌산읍 평사리 1009-1,,,,,0,
d_d004817,유어스호텔,1,1,Y,2022/10/28 0:00,2022/10/29 0:00,2,,부킹닷컴,,,,,2022/10/22 0:00,1,68935,AMSTERDAM 여행 
d_d004827,홍스랜드,1,3,Y,2022/10/15 0:00,2022/10/16 0:00,3,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 정자일로 95,경기 성남시 분당구 정자동 178-4,3180021,4113510300,2022/10/07 0:00,1,107070,301동
d_d002965,신화관 제주신화월드호텔앤리조트,2,1,Y,2022/10/22 0:00,2022/10/23 0:00,4,,제주신화월드,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,,4852219,5013031027,2022/10/11 11:20,1,215000,호텔비 디럭스 패밀리트윈
d_d002643,더오크라호텔,0,1,Y,2022/10/16 0:00,2022/10/17 0:00,1,,,제주특별자치도 제주시 신광로4길 38,제주특별자치도 제주시 연동 251-41,,,,1,15000,
d_d002895,수월이펜션,10,3,,,,3,,수월이펜션,추사로 38번길 96 추가인원 금액,,,,,5,10000,펜션비
d_d002379,호텔스카브로,0,1,Y,2022/10/05 0:00,2022/10/06 0:00,3,,,제주특별자치도 서귀포시 예래해안로 15,제주특별자치도 서귀포시 하예동 1793,,,,1,116500,
d_d004529,윈스카이호텔,1,1,Y,2022/10/20 0:00,2022/10/21 0:00,1,2158641873,(주)메이트아이,서울 구로구 디지털로26길 111,서울 구로구 구로동 222-3,4148327,1153010200,2022/10/20 17:40,1,52000,호텔비
d_d002256,모이모이펜션,0,3,Y,2022/10/18 0:00,2022/10/19 0:00,2,,,제주특별자치도 제주시 한림읍 귀덕8길 39,제주특별자치도 제주시 한림읍 귀덕리 2900-1,,,,1,90000,
d_d000892,씨오르리조트,1,4,Y,2022/09/02 0:00,2022/09/04 0:00,3,,씨오르리조트,제주특별자치도 서귀포시 이어도로 989,제주특별자치도 서귀포시 법환동 87-1,3350237,5013010200,2022/09/02 0:00,1,212520,[8%할인]제주 리조트 씨오르 리조트(구 신성리조트) 스튜디오-클린형
d_d007396,신화관 제주신화월드 스카이풀,0,1,Y,2022/10/23 0:00,2022/10/23 0:00,2,,,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,제주특별자치도 서귀포시 안덕면 서광리 산 24,,,,,0,
a_a012239,파라다이스시티,0,1,Y,2022/10/26 0:00,2022/10/27 0:00,3,,,인천 중구 영종해안남로321번길 186,인천 중구 운서동 2874,,,,,0,
d_d006018,표선카라반,0,5,Y,2022/10/14 0:00,2022/10/15 0:00,2,,,표선백사로 176,,,,,5,100000,
d_d001038,인덱스 제이드림호텔,0,1,N,2022/09/01 0:00,2022/09/03 0:00,2,,,제주특별자치도 제주시 은남1길 40,제주특별자치도 제주시 연동 272-26,,,,1,43110,
d_d002565,섬스튜디오,1,11,Y,2022/10/29 0:00,2022/10/30 0:00,2,,에어비앤비,,,,,2022/10/10 11:31,1,161741,집전체 .침대1개 게스트2명
d_d000084,호텔에어시티제주,0,1,Y,2022/08/15 0:00,2022/08/16 0:00,8,,,제주특별자치도 제주시 삼무로 56,제주특별자치도 제주시 연동 282-3,,,,1,300000,
d_d009969,서문레지던스,0,1,Y,2022/10/31 0:00,2022/11/02 0:00,3,,,제주특별자치도 제주시 서문로4길 16-8,제주특별자치도 제주시 용담일동 137-4,,,,1,180000,
d_d004600,더포그레이스호텔앤리조트,1,1,Y,2022/10/20 0:00,2022/10/21 0:00,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022/10/03 11:14,1,71100,더 포 그레이스 리조트
d_d001705,바다다펜션,1,3,Y,2022/09/28 0:00,2022/09/29 0:00,2,,바다다민박,,,,,2022/09/04 0:00,1,115000,1층 커플룸102호
a_a000159,카라반랜드,0,11,Y,2022/08/13 0:00,2022/08/15 0:00,4,,,경기 안산시 단원구 수영목길 27-75,경기 안산시 단원구 대부남동 31-42,,,,1,320000,
a_a002405,꿈의궁전펜션,0,3,Y,2022/09/18 0:00,2022/09/19 0:00,3,,,인천 옹진군 영흥면 영흥서로 475-11,인천 옹진군 영흥면 내리 1329-7,,,,3,60000,
