방문자ID,여행ID,진행순서,방문지명,방문시작일자,방문종료일자,도로명주소,지번주소,X좌표,Y좌표,도로명코드,지번코드,POI_ID,POI_NM,체류시간,방문자유형코드,재방문여부,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,만족도,재방문의향,추천의향,시군구코드
2210070002,d_d001834,15,집,2022-10-07,2022-10-08,,,,,,,,,630,21,,,,,,,11680
2209080006,a_a002062,6,블루오션레지던스호텔,2022-09-08,2022-09-08,인천 중구 영종대로 911,인천 중구 중산동 1886-7,126.5635148,37.48735336,,,,,30,24,N,2,1,4,4,4,
2211040005,d_d010362,16,호텔 케니 서귀포,2022-11-04,2022-11-05,제주특별자치도 서귀포시 동문로 42,제주특별자치도 서귀포시 서귀동 270-9,126.5649832,33.25008407,,,,,270,24,N,3,1,5,5,5,
2210120005,d_d003747,24,제주동문재래야시장,2022-10-12,2022-10-12,제주특별자치도 제주시 관덕로14길 20,제주특별자치도 제주시 이도일동 1436-7,126.5260174,33.51158875,,,,,60,4,N,3,,4,3,3,
2209130006,d_d001406,28,짱구분식,2022-09-13,2022-09-13,제주특별자치도 서귀포시 중동로48번길 3,제주특별자치도 서귀포시 서귀동 254-2,126.5670902,33.25018159,,,,,30,11,N,5,,4,4,4,
2209300003,d_d001756,17,제주신화월드랜딩관,2022-09-30,2022-09-30,신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트,,,,,,POI01000000ALBVGD,제주신화월드테마파크,120,24,Y,11,1,5,5,5,50130
2210170002,d_d003119,10,포도뮤지엄,2022-10-17,2022-10-17,제주특별자치도 서귀포시 안덕면 산록남로 788,제주특별자치도 서귀포시 안덕면 상천리 837,126.3859695,33.31927276,,,,,30,3,N,5,,5,5,5,
2210020002,d_d001824,22,더베스트제주성산,2022-10-02,2022-10-02,제주특별자치도 서귀포시 성산읍 동류암로 26,제주특별자치도 서귀포시 성산읍 고성리 298-5,126.9170024,33.44977355,,,POI01000000BSCJ0U,제주라마다앙코르성산호텔,180,24,Y,8,1,3,2,2,
2210080001,c_c004307,7,안면암,2022-10-08,2022-10-08,충남 태안군 안면읍 여수해길 198-160,충남 태안군 안면읍 정당리 178-7,126.3750626,36.55934803,,,POI01000000BZBV9L,경주월드,30,2,N,1,,3,3,3,
2210300001,d_d007843,1,집,2022-10-30,2022-10-30,,,,,,,POI01000000C9IDW8,해피존빌라,,21,,,,,,,50110
2210130004,d_d005076,4,스쿠피케이크,2022-10-13,2022-10-13,제주특별자치도 제주시 용문로 145,제주특별자치도 제주시 용담이동 641-18,126.5093786,33.50782925,,,,,30,11,N,2,,5,5,5,
2208290009,d_d000234,17,플레이커피랩,2022-08-29,2022-08-29,제주특별자치도 서귀포시 서문로28번길 2,제주특별자치도 서귀포시 서귀동 305-15,126.5588212,33.2505817,,,,,30,11,N,2,,3,3,3,
2210090003,d_d004842,3,은희네해장국 본점,2022-10-09,2022-10-09,제주특별자치도 제주시 고마로13길 8,제주특별자치도 제주시 일도이동 357-4,126.540725,33.50852103,,,,,30,11,N,2,,3,1,2,
2210180009,d_d005997,32,아침해변펜션,2022-10-18,2022-10-19,제주특별자치도 제주시 조천읍 조함해안로 76-9,제주특별자치도 제주시 조천읍 조천리 2996-2,126.6378001,33.54396535,,,,,270,24,N,2,3,5,5,5,
2210270004,d_d008987,6,이호테우등대,2022-10-27,2022-10-27,,제주특별자치도 제주시 이호일동,126.4519614,33.50179497,,,,,30,1,N,2,,4,1,5,
2209300003,d_d001532,5,봄날,2022-09-30,2022-09-30,,,126.3095913,33.4624594,,,,,60,11,N,7,,5,5,5,50110
2210200004,d_d002264,15,용눈이오름 주차장,2022-10-20,2022-10-20,,제주특별자치도 제주시 구좌읍 종달리 4650,126.8316087,33.46307048,,,,,30,9,N,11,,5,5,5,
2208200006,d_d000692,13,에어비앤비 숙소,2022-08-20,2022-08-21,,제주특별자치도 서귀포시 남원읍 위미리,,,,,,,180,24,N,2,8,4,4,4,50130
2210150004,d_d004496,8,서귀포매일올레시장,2022-10-15,2022-10-15,,,126.3577307,33.36627759,,,,,60,4,Y,4,,3,4,3,50130
2210300011,d_d007400,30,칠돈가 함덕 흑돼지,2022-10-30,2022-10-30,제주특별자치도 제주시 조천읍 함와로 12,제주특별자치도 제주시 조천읍 함덕리 4150-5,126.6742179,33.53895809,,,,,30,11,Y,4,,3,2,1,
2208250006,d_d000518,16,서귀포매일올레시장,2022-08-25,2022-08-25,제주특별자치도 서귀포시 중앙로62번길 18,제주특별자치도 서귀포시 서귀동 277-1,126.5632316,33.25015006,,,POI01000000BSCGYP,서귀포시공영주차장,90,4,N,2,,5,5,5,
2210280002,d_d007504,25,우방신세계타운2단지아파트,2022-10-28,2022-10-29,경북 구미시 상사서로 17,경북 구미시 상모동 76-1,128.356129,36.08381301,,,POI01000000BZD7ZP,우방신세계타운2단지아파트,600,21,,,,,,,
2210170001,d_d006140,7,특별한렌트카,2022-10-17,2022-10-17,제주특별자치도 제주시 공항로1길 40-8,제주특별자치도 제주시 용담이동 726,126.5002441,33.50303415,,,,,90,10,N,11,,4,3,3,
2208270002,d_d000990,41,조이힐하우스 자연치유센터,2022-08-27,2022-08-28,제주특별자치도 제주시 애월읍 하소로 503-1,제주특별자치도 제주시 애월읍 장전리 691-1,126.3935885,33.43839016,,,,,150,24,Y,8,7,2,1,1,
2210020004,c_c005215,3,병풍도,2022-10-02,2022-10-02,,전남 신안군 증도면 병풍리,126.2083307,34.9668186,,,,,120,8,N,1,,5,4,4,
2210230005,a_a010147,5,수철이네왕새우튀김 영종도본점,2022-10-23,2022-10-23,인천 중구 은하수로 14,,,,,,POI01000000B5L5FH,영종하늘시티,60,11,N,9,,5,5,5,28110
2210180006,d_d002554,13,라온제나펜션,2022-10-18,2022-10-18,제주특별자치도 제주시 한림읍 명재로 62-2,제주특별자치도 제주시 한림읍 협재리 1265-1,126.2530769,33.39355755,,,,,90,24,Y,11,3,4,4,4,
